NODENAME,NEIGHBOR_HOSTNAME,Direction,Traffic_Gate,Exchange,NEIGHBORLOCATION
KFRSHK-R41J-KFS-EG,BRMBAL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BEREMBAL...KFS
KFRSHK-R41J-KFS-EG,MHLALY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MAHALETABOALY...KFS
KFRSHK-R40J-KFS-EG,VLG62-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,VILLAGE62...KFS
KFRSHK-R40J-KFS-EG,KFRMRZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRELMARAZQA...KFS
KFRSHK-R40J-KFS-EG,MABBAS-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MANSHAATABBAS...KFS
KFRSHK-R40J-KFS-EG,KFRAGMY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRELAGAMY...KFS
KFRSHK-R40J-KFS-EG,KFRAGMY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRELAGAMY...KFS
KFRSHK-R41J-KFS-EG,EZBTSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,EZBETELSHEIKH...KFS
KFRSHK-R41J-KFS-EG,ADERAZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABODERAZ...KFS
KFRSHK-R41J-KFS-EG,MHLTMS-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MAHALETMOUSA...KFS
KFRSHK-R41J-KFS-EG,QUNAH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,QUNAH...KFS
KFRSHK-R41J-KFS-EG,FQHBHR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,FOQAHAAELBAHARIAH...KFS
KFRSHK-R41J-KFS-EG,FQHBHR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,FOQAHAAELBAHARIAH...KFS
KFRSHK-R41J-KFS-EG,SNHRMD-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SANHOURELMADINAH...KFS
KFRSHK-R41J-KFS-EG,KFRBQL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRBAQLOLA...KFS
KFRSHK-R41J-KFS-EG,KFRBQL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRBAQLOLA...KFS
KFRSHK-R41J-KFS-EG,ABSKSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABBASIAKAFRELSHEIKH...KFS
KFRSHK-R08J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R09J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R06J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R31J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R31J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R07J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R05J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R41J-KFS-EG,KFRSHK-R40J-KFS-EG,Uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
KFRSHK-R36A-KFS-EG,KFRSHK-R40J-KFS-EG,1st_BK_uplink,up_insider,KAFRELSHEIKH...KFS,KAFRELSHEIKH...KFS
